open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume
1741082400000,83675.8,83987.8,83411.3,83890.0,200.016,1741085999999,16737318.0719,7501,104.100,8711888.3863
1741086000000,83890.0,84295.7,83616.0,83857.8,183.442,1741089599999,15388360.0302,7286,89.181,7481954.9236
1741089600000,83857.8,83905.2,83189.1,83690.4,283.562,1741093199999,23695227.4721,13222,145.899,12191364.9771
1741093200000,83686.1,83694.0,82238.0,82727.6,623.688,1741096799999,51715338.3670,19814,306.803,25437548.5354
1741096800000,82730.0,84863.7,81976.6,83105.8,1700.421,1741100399999,142389081.7646,58349,862.370,72205561.9004
1741100400000,83103.1,83281.5,81367.0,82886.1,1395.451,1741103999999,115135838.6693,49599,714.920,59000250.4148
1741104000000,82890.0,83707.9,81905.0,83452.1,984.294,1741107599999,81371650.4134,36238,530.716,43880909.3798
1741107600000,83462.0,85471.4,83310.4,85368.1,1482.243,1741111199999,125662757.2338,33135,716.368,60709727.2721
1741111200000,85371.9,86863.3,85044.9,86693.9,734.277,1741114799999,63042733.2141,22472,399.629,34320661.0525
1741114800000,86691.1,88514.6,86466.5,88160.8,1579.975,1741118399999,138654701.2076,39200,806.316,70762877.3144
1741118400000,88154.0,88780.2,86622.4,86740.1,1461.070,1741121999999,128441043.7736,30346,730.845,64274630.2421
1741122000000,86772.5,88895.4,86506.9,87451.2,962.477,1741125599999,84439742.2918,22982,512.801,44969313.6624
1741125600000,87464.0,87900.0,87340.1,87425.9,156.700,1741129199999,13732245.5531,5933,81.375,7130556.7685
1741129200000,87422.0,87686.0,87040.0,87223.7,184.411,1741132799999,16109990.9729,6020,90.004,7863537.9353
1741132800000,87218.0,87221.8,86291.6,86738.1,300.216,1741136399999,26043820.8927,9412,138.986,12057030.9692
1741136400000,86734.1,87728.0,86534.1,87576.1,332.978,1741139999999,29054031.0848,10104,186.812,16299849.3678
1741140000000,87566.8,87830.8,86969.2,87404.0,224.458,1741143599999,19611044.9352,9337,104.568,9136967.1198
1741143600000,87400.9,87821.9,86706.0,86781.9,242.796,1741147199999,21234288.0358,8745,102.701,8984279.1530
1741147200000,86791.9,87338.0,86669.1,86858.2,223.990,1741150799999,19480943.7059,7517,106.250,9240804.5190
1741150800000,86866.0,87190.9,86784.1,87079.9,93.668,1741154399999,8146156.9285,3691,44.500,3869751.5134
